genus	mean_cohort1	se_cohort1	nz_cohort1	mean_cohort2	se_cohort2	nz_cohort2	mean_cohort3	se_cohort3	nz_cohort3	mean_cohort4	se_cohort4	nz_cohort4
Aorunvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aphroditevirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aphthovirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Apibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Apilactobacillus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquabacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquabacterium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aqualcavirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquaspirillum	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquella	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquibium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquicella	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquifex	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquiflexum	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquihabitans	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquiluna	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquimarina	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquincola	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquirhabdus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquirufa	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquisalimonas	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aquisalinus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
